"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"Roberto-Venn School of Luthiery",2025,"01 City","AZ","Accrediting Commission of Career Schools and Colleges",6,"Private for-profit","11","Main","NA","15","not_reported","0","29000","35209","PS","PS","25200","36340","PS","PS","7307","PS","0.5769230769","0.5098039216","PS","PS","NA","NA","NA","NA","NA"
"Scottsdale Community College",2025,"04 Rural","AZ","Higher Learning Commission",6,"Public","41","Main","NA","4274","19682","0","42500","47905","37500","48000","34900","39059","34300","35600","4500","8000","0.388720027","0.3101514302","0.4848484848","0.5544041451","NA","NA","NA","8958","2358"
"South Mountain Community College",2025,"01 City","AZ","Higher Learning Commission",6,"Public","11","Main","NA","2612","17872","0","33400","39825","29800","39300","28700","35633","27400","30700","4500","8000","0.2157534247","0.1838235294","0.3159509202","0.3787878788","NA","NA","NA","8958","2358"
"Arizona Christian University",2025,"02 Suburb","AZ","Higher Learning Commission",6,"Private nonprofit","21","Main","0.7442","1127","50950","0","34900","51612","PS","PS","32600","39524","25800","37200","6251","23000","0.5551470588","0.3978494624","0.5952380952","0.6736842105","0.4321","0.4066","0.5781","34697","34697"
"Universal Technical Institute of Arizona Inc",2025,"02 Suburb","AZ","Accrediting Commission of Career Schools and Colleges",6,"Private for-profit","21","Main","NA","1791","not_reported","0","48100","52873","33500","48400","37000","47320","28500","37200","11183","13124","0.4811762665","0.3886316462","0.533640023","0.7034135422","NA","NA","NA","NA","NA"
"Yavapai College",2025,"01 City","AZ","Higher Learning Commission",6,"Public","13","Main","NA","3732","12642","0","34000","39890","31000","38000","29000","35028","26700","32400","6762","9000","0.3660079051","0.3070953437","0.496350365","0.5617977528","0.3213","NA","NA","9344","2838"
"University of Arkansas at Little Rock",2025,"01 City","AR","Higher Learning Commission",5,"Public","12","Main","0.5774","4740","21013","0","39500","45265","35600","45800","34600","40040","31700","39200","14500","22000","0.5772706733","0.540368006","0.5978077572","0.705372617","0.4169","0.4134","0.7289","19210","8455"
"University of Arkansas for Medical Sciences",2025,"01 City","AR","Higher Learning Commission",5,"Public","12","Main","NA","1361","not_reported","0","69000","73827","61600","94400","68000","66491","62300","84700","13000","14000","0.8074074074","0.7580645161","0.8412017167","0.8636363636","NA","NA","NA","NA","NA"
"Arkansas Baptist College",2025,"01 City","AR","Higher Learning Commission",5,"Private nonprofit","12","Main","NA","373","22626","1","25100","28418","PS","PS","21000","22652","17600","22300","8250","25375","0.2544080605","0.2515060241","PS","PS","0.0816","NA","0.2028","8760","8760"
"Arkansas Beauty School-Little Rock",2025,"01 City","AR","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","12","Main","NA","111","not_reported","0","16400","18078","PS","PS","PS","14638","PS","PS","6333","6333","0.3188405797","PS","PS","PS","NA","NA","NA","NA","NA"
"Arkansas Beauty College",2025,"03 Town","AR","Accrediting Commission of Career Schools and Colleges",5,"Private for-profit","33","Main","NA","56","not_reported","0","PS","16857","PS","PS","PS","20636","PS","PS","7000","PS","0.4186046512","0.3333333333","PS","PS","NA","NA","NA","NA","NA"
"Lyon College",2025,"03 Town","AR","Higher Learning Commission",5,"Private nonprofit","33","Main","0.6554","563","44943","0","44800","44232","36800","52900","31400","37629","28300","35200","10699","21500","0.6743295019","0.5688073394","0.7530864198","0.7464788732","0.4677","0.4411","0.5957","31000","31000"
"Arkansas Technical School",2025,"01 City","AR","Accrediting Commission of Career Schools and Colleges",5,"Private for-profit","13","Main","NA","111","not_reported","0","19000","16209","PS","PS","17900","16624","PS","PS","9833","16500","0.3706896552","0.375","PS","PS","NA","NA","NA","NA","NA"
"University of Arkansas",2025,"01 City","AR","Higher Learning Commission",5,"Public","13","Main","0.7167","27312","26161","0","52700","58191","46800","58900","40900","49686","37000","44600","15749","21500","0.6712301975","0.5870588235","0.6839378238","0.7372926699","0.6961","0.7077","0.8605","28772","9748"
"University of Arkansas at Pine Bluff",2025,"03 Town","AR","Higher Learning Commission",5,"Public","32","Main","0.5754","1899","20907","1","30600","35550","29800","31300","23900","31161","23100","24600","14328","24202","0.3661573288","0.3435314685","0.385106383","0.477124183","0.4057","0.418","0.615","17029","9019"
"Arkansas State University-Beebe",2025,"03 Town","AR","Higher Learning Commission",5,"Public","31","Main","NA","1902","14799","0","32900","36603","28500","40700","26600","32587","23700","32100","5500","8093","0.5303210464","0.4473684211","0.5704467354","0.7045454545","NA","NA","NA","5040","3216"
"Arkansas State University",2025,"01 City","AR","Higher Learning Commission",5,"Public","13","Main","0.6967","7994","22823","0","36600","42617","32100","42900","30900","38944","28100","34700","15000","20500","0.5756867329","0.5001740341","0.6524777637","0.7157434402","0.5388","0.539","0.7769","13826","7754"
"Arkansas Tech University",2025,"03 Town","AR","Higher Learning Commission",5,"Public","33","Main","0.9629","5993","21536","0","38600","41766","31600","46000","31600","37638","27200","36600","11350","21000","0.5645795127","0.4572890026","0.6507413509","0.7268518519","0.4877","0.433","0.6703","14502","8508"
"University of Arkansas at Monticello",2025,"03 Town","AR","Higher Learning Commission",5,"Public","33","Main","NA","1868","20741","0","35800","36902","30000","43600","27300","31332","23600","31700","11364","19971","0.4455292909","0.3721444363","0.5934343434","0.6580310881","0.4124","0.271","0.6834","14718","8868"
"Arthur's Beauty College",2025,"02 Suburb","AR","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","21","Other","NA","47","not_reported","0","18500","21954","PS","PS","18500","20177","PS","PS","7931","9833","0.4712643678","0.4601769912","PS","PS","NA","NA","NA","NA","NA"
"Baptist Health College Little Rock",2025,"01 City","AR","Accrediting Bureau of Health Education Schools",5,"Private nonprofit","12","Main","1","512","37054","0","48100","62244","PS","PS","46200","53393","44500","56100","9500","10000","0.7012987013","0.6407506702","0.7487437186","0.8099173554","NA","NA","NA","13593","13593"
"Black River Technical College",2025,"03 Town","AR","Higher Learning Commission",5,"Public","32","Main","NA","938","14624","0","29100","34818","26200","33300","25600","31263","22300","30400","6000","9500","0.4469835466","0.3909090909","0.5693950178","0.6511627907","NA","NA","NA","7242","4584"
"University of Central Arkansas",2025,"01 City","AR","Higher Learning Commission",5,"Public","13","Main","0.9047","7426","24265","0","42500","45938","38200","47700","32600","36670","30600","35000","13000","20346","0.6233618234","0.5401844532","0.6597040905","0.7236061684","0.5174","0.486","0.7378","17258","10118"
"Central Baptist College",2025,"01 City","AR","Higher Learning Commission",5,"Private nonprofit","13","Main","0.4636","477","27468","0","43000","46789","33800","49200","34200","37681","29400","38000","12876","22250","0.5753424658","0.5028901734","0.6320754717","0.6511627907","0.3716","0.447","0.6101","19680","19680"
"Cossatot Community College of the University of Arkansas",2025,"03 Town","AR","Higher Learning Commission",5,"Public","33","Main","NA","835","11738","0","28000","33775","25600","34700","23800","30249","20800","31300","PS","PS","NA","NA","NA","NA","NA","NA","NA","4746","3906"
"Crowley's Ridge College",2025,"04 Rural","AR","Higher Learning Commission",5,"Private nonprofit","41","Main","NA","162","25817","0","29600","39533","PS","PS","24200","33362","PS","PS","13918","26228","0.5267857143","PS","0.5365853659","PS","0.2876","0.3509","0.7191","16440","16440"
"East Arkansas Community College",2025,"03 Town","AR","Higher Learning Commission",5,"Public","32","Main","NA","492","13028","0","26800","28471","24200","31900","22300","26801","21100","25000","4750","6000","0.3229166667","0.3015873016","PS","PS","NA","NA","NA","4980","3960"
"Paul Mitchell the School-Little Rock",2025,"01 City","AR","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Main","NA","411","not_reported","0","PS","24765","PS","PS","16300","18994","PS","PS","9833","10725","0.4253578732","0.3726708075","0.5","0.5918367347","NA","NA","NA","NA","NA"
"National Park College",2025,"02 Suburb","AR","Higher Learning Commission",5,"Public","23","Main","NA","1706","17994","0","28100","32444","26700","30900","24900","28337","24100","26300","6250","10500","0.3684210526","0.3382594417","0.474137931","0.6078431373","NA","NA","NA","7280","5600"
"University of Arkansas Community College-Batesville",2025,"03 Town","AR","Higher Learning Commission",5,"Public","33","Main","NA","788","16591","0","30300","33706","25700","38400","26400","32636","24300","30100","7085","10250","0.472406181","0.408496732","PS","PS","NA","NA","NA","4542","3558"
"Harding University",2025,"03 Town","AR","Higher Learning Commission",5,"Private nonprofit","32","Main","1","3323","36385","0","47000","52876","39900","55100","35600","43555","33800","37800","21601","26500","0.7277023036","0.6126760563","0.7295238095","0.7924528302","0.7018","0.7016","0.8557","24888","24888"
"Henderson State University",2025,"03 Town","AR","Higher Learning Commission",5,"Public","32","Main","0.8192","1491","25946","0","40400","43459","35500","46300","29300","35194","27100","31800","12000","19500","0.561760841","0.4903225806","0.6183673469","0.6692607004","0.3869","0.3729","0.5822","9882","7885"
"Hendrix College",2025,"01 City","AR","Higher Learning Commission",5,"Private nonprofit","13","Main","0.5298","1094","52396","0","44500","60376","40100","50200","35100","39913","34400","36000","19500","26688","0.7620320856","0.6956521739","0.7933884298","0.7663043478","0.6889","0.7031","0.7861","36650","36650"
"Hot Springs Beauty College",2025,"01 City","AR","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Main","NA","92","not_reported","0","PS","21563","PS","PS","PS","16969","PS","PS","8000","9700","0.3714285714","PS","PS","PS","NA","NA","NA","NA","NA"
"Jefferson Regional School of Nursing",2025,"03 Town","AR","Accrediting Bureau of Health Education Schools",5,"Private nonprofit","32","Main","NA","80","not_reported","0","PS","73975","PS","PS","PS","62090","PS","PS","7500","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"John Brown University",2025,"03 Town","AR","Higher Learning Commission",5,"Private nonprofit","32","Main","0.6764","1415","43260","0","55400","53907","46400","64700","45300","46114","37400","55200","17000","21250","0.7462871287","0.6419753086","0.7975077882","0.7827868852","0.6898","0.6982","0.8433","30832","30832"
"Career Academy of Hair Design",2025,"01 City","AR","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Main","NA","244","not_reported","0","23600","21567","PS","PS","18900","18556","PS","PS","5531","6365","0.3684210526","0.325","PS","PS","NA","NA","NA","NA","NA"
"Academy of Salon and Spa",2025,"01 City","AR","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Main","NA","81","not_reported","0","PS","16941","PS","PS","15500","17132","PS","PS","4398","4833","0.396039604","0.3521126761","PS","PS","NA","NA","NA","NA","NA"
"Arkansas State University Mid-South",2025,"02 Suburb","AR","Higher Learning Commission",5,"Public","21","Main","NA","435","12556","0","26700","31857","25800","28400","22200","27557","21200","24400","PS","PS","NA","NA","NA","NA","NA","NA","NA","4560","3048"
"Arkansas Northeastern College",2025,"03 Town","AR","Higher Learning Commission",5,"Public","33","Main","NA","787","12037","0","30800","33169","27800","37600","26000","30674","23000","32800","PS","PS","0.4390243902","PS","PS","PS","NA","NA","NA","4250","2570"
"New Tyler Barber College Inc",2025,"01 City","AR","Accrediting Commission of Career Schools and Colleges",5,"Private for-profit","13","Main","NA","58","not_reported","0","19200","18715","PS","PS","PS","16629","PS","PS","PS","PS","0.3962264151","PS","PS","PS","NA","NA","NA","NA","NA"
"North Arkansas College",2025,"03 Town","AR","Higher Learning Commission",5,"Public","33","Main","NA","1184","16367","0","28900","34653","26000","33400","25000","31671","22400","28700","5928","9000","0.4002890173","0.3507751938","PS","PS","NA","NA","NA","5544","3168"
"Northwest Technical Institute",2025,"01 City","AR","Council on Occupational Education",5,"Public","13","Main","NA","217","16032","0","32500","41513","28700","37900","30500","41241","30700","30300","PS","PS","NA","NA","NA","NA","NA","NA","NA","5184","5184"
"Ouachita Baptist University",2025,"03 Town","AR","Higher Learning Commission",5,"Private nonprofit","32","Main","0.6852","1612","45132","0","46000","51673","41000","51500","34600","41697","32400","36800","15000","21050","0.6861471861","0.5","0.6538461538","0.7897196262","0.679","0.635","0.8075","32480","32480"
"Arkansas State University Three Rivers",2025,"03 Town","AR","Higher Learning Commission",5,"Public","31","Main","NA","514","12748","0","31000","37374","27800","37700","25700","33365","24900","28300","6500","PS","0.4488448845","0.3917525773","PS","PS","NA","NA","NA","4168","3568"
